,Estimate,CSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_723,-3.415,0.849,1,40,0.025,0.929,0.252,0.949,0.387
Person_724,-1.986,0.47,5,40,0.125,0.823,-0.056,0.597,-0.4
Person_725,-1.307,0.389,9,40,0.225,1.256,0.609,1.101,0.365
Person_726,2.351,0.518,37,40,0.925,1.733,1.045,2.402,1.301
Person_727,1.104,0.353,29,40,0.725,0.437,-1.203,0.725,-0.242
Person_728,1.104,0.353,29,40,0.725,0.385,-1.38,0.365,-1.077
Person_729,-1.026,0.372,11,40,0.275,0.79,-0.234,0.701,-0.381
Person_730,-2.884,0.677,2,40,0.05,1.286,0.592,2.119,1.176
Person_731,0.985,0.348,28,40,0.7,0.598,-0.73,0.481,-0.809
Person_732,-0.044,0.34,19,40,0.475,0.882,-0.074,0.817,-0.179
Person_733,0.182,0.338,21,40,0.525,0.387,-1.435,0.579,-0.728
Person_734,-0.636,0.355,14,40,0.35,0.413,-1.266,0.48,-0.99
Person_735,0.408,0.338,23,40,0.575,0.52,-0.978,0.538,-0.81
Person_736,-0.044,0.34,19,40,0.475,0.889,-0.058,0.658,-0.539
Person_737,1.226,0.358,30,40,0.75,0.683,-0.5,0.565,-0.527
Person_738,0.751,0.343,26,40,0.65,0.679,-0.526,0.709,-0.344
Person_739,-2.503,0.576,3,40,0.075,0.458,-0.597,0.323,-0.776
Person_740,-2.884,0.677,2,40,0.05,0.594,-0.254,0.418,-0.401
Person_741,1.771,0.408,34,40,0.85,0.702,-0.353,1.501,0.795
Person_742,1.226,0.358,30,40,0.75,0.72,-0.41,1.297,0.624
Person_743,-0.636,0.355,14,40,0.35,1.053,0.275,0.966,0.122
Person_744,-3.415,0.849,1,40,0.025,0.376,-0.525,0.205,-0.533
Person_745,-0.044,0.34,19,40,0.475,0.915,-0.005,1.124,0.401
Person_746,1.483,0.376,32,40,0.8,2.135,1.747,1.671,0.993
Person_747,2.636,0.597,38,40,0.95,1.188,0.494,5.936,2.393
Person_748,1.483,0.376,32,40,0.8,0.997,0.178,1.321,0.638
Person_749,-0.158,0.342,18,40,0.45,0.546,-0.907,0.548,-0.826
Person_750,-1.616,0.418,7,40,0.175,1.064,0.304,0.914,0.086
Person_751,0.182,0.338,21,40,0.525,1.161,0.47,0.942,0.074
Person_752,0.07,0.339,20,40,0.5,0.704,-0.485,0.681,-0.48
Person_753,-1.79,0.44,6,40,0.15,0.643,-0.445,0.867,0.03
Person_754,2.351,0.518,37,40,0.925,1.128,0.416,2.675,1.436
Person_755,2.636,0.597,38,40,0.95,0.25,-0.995,0.182,-0.653
Person_756,2.351,0.518,37,40,0.925,0.435,-0.696,0.278,-0.601
Person_757,-0.763,0.36,13,40,0.325,0.69,-0.471,0.723,-0.36
Person_758,0.985,0.348,28,40,0.7,0.542,-0.885,0.464,-0.852
Person_759,0.521,0.339,24,40,0.6,0.611,-0.709,0.615,-0.595
Person_760,0.182,0.338,21,40,0.525,1.707,1.323,2.309,1.943
Person_761,1.621,0.39,33,40,0.825,0.572,-0.698,0.409,-0.702
Person_762,1.483,0.376,32,40,0.8,0.988,0.162,0.845,0.036
Person_763,0.751,0.343,26,40,0.65,0.469,-1.115,0.415,-1.078
Person_764,0.521,0.339,24,40,0.6,1.015,0.201,1.088,0.339
Person_765,0.295,0.338,22,40,0.55,0.201,-2.271,0.235,-1.891
Person_766,-2.217,0.513,4,40,0.1,1.302,0.622,1.592,0.898
Person_767,-0.158,0.342,18,40,0.45,1.074,0.312,0.961,0.108
Person_768,-0.513,0.351,15,40,0.375,0.403,-1.323,0.419,-1.193
Person_769,-1.986,0.47,5,40,0.125,0.701,-0.275,0.46,-0.685
Person_770,2.351,0.518,37,40,0.925,1.175,0.471,1.42,0.704
Person_771,2.636,0.597,38,40,0.95,0.795,0.032,0.41,-0.221
Person_772,2.351,0.518,37,40,0.925,0.639,-0.29,0.412,-0.347
Person_773,0.867,0.345,27,40,0.675,0.803,-0.233,1.907,1.376
Person_774,2.125,0.467,36,40,0.9,0.55,-0.55,0.425,-0.428
Person_775,-0.274,0.344,17,40,0.425,1.161,0.469,1.343,0.753
Person_776,0.295,0.338,22,40,0.55,0.656,-0.603,0.703,-0.416
Person_777,-1.986,0.47,5,40,0.125,1.064,0.318,1.685,1.02
Person_778,0.295,0.338,22,40,0.55,0.713,-0.458,0.721,-0.376
Person_779,0.07,0.339,20,40,0.5,0.91,-0.014,0.945,0.079
Person_780,-1.79,0.44,6,40,0.15,1.342,0.702,1.213,0.519
Person_781,0.07,0.339,20,40,0.5,0.386,-1.445,0.452,-1.099
Person_782,-0.274,0.344,17,40,0.425,1.058,0.282,0.867,-0.075
Person_783,3.157,,40,40,1.0,,,,
Person_784,1.483,0.376,32,40,0.8,0.391,-1.275,1.57,0.896
Person_785,0.295,0.338,22,40,0.55,1.045,0.256,0.964,0.12
Person_786,0.295,0.338,22,40,0.55,0.75,-0.368,0.654,-0.53
Person_787,0.295,0.338,22,40,0.55,1.027,0.222,0.961,0.113
Person_788,0.295,0.338,22,40,0.55,0.281,-1.861,0.337,-1.463
Person_789,-1.456,0.402,8,40,0.2,0.693,-0.411,0.439,-0.921
Person_790,-0.392,0.347,16,40,0.4,0.505,-1.007,0.524,-0.885
Person_791,-1.616,0.418,7,40,0.175,0.514,-0.803,0.713,-0.264
Person_792,-1.307,0.389,9,40,0.225,0.454,-1.05,0.652,-0.444
Person_793,1.483,0.376,32,40,0.8,1.083,0.331,1.228,0.534
Person_794,0.07,0.339,20,40,0.5,0.324,-1.689,0.412,-1.229
Person_795,-1.79,0.44,6,40,0.15,1.032,0.26,0.616,-0.415
Person_796,-0.392,0.347,16,40,0.4,0.641,-0.624,0.589,-0.71
Person_797,1.936,0.433,35,40,0.875,0.351,-1.166,0.478,-0.417
Person_798,0.985,0.348,28,40,0.7,0.882,-0.06,1.105,0.371
Person_799,1.483,0.376,32,40,0.8,1.189,0.507,0.793,-0.043
Person_800,-0.044,0.34,19,40,0.475,0.76,-0.348,0.646,-0.568
Person_801,-1.307,0.389,9,40,0.225,0.091,-2.754,0.161,-2.02
Person_802,-1.616,0.418,7,40,0.175,0.681,-0.407,1.145,0.43
Person_803,0.521,0.339,24,40,0.6,0.98,0.132,0.928,0.061
Person_804,0.521,0.339,24,40,0.6,0.374,-1.455,0.374,-1.278
Person_805,2.125,0.467,36,40,0.9,0.539,-0.574,0.704,-0.009
Person_806,0.751,0.343,26,40,0.65,2.67,2.408,2.026,1.531
Person_807,0.182,0.338,21,40,0.525,0.857,-0.127,0.629,-0.6
Person_808,-2.503,0.576,3,40,0.075,0.383,-0.765,0.28,-0.885
Person_809,-0.392,0.347,16,40,0.4,0.697,-0.483,0.926,0.042
Person_810,0.521,0.339,24,40,0.6,0.808,-0.228,0.755,-0.279
Person_811,0.521,0.339,24,40,0.6,0.499,-1.031,0.463,-1.0
Person_812,-1.026,0.372,11,40,0.275,1.421,0.864,1.213,0.536
Person_813,0.521,0.339,24,40,0.6,0.726,-0.417,0.632,-0.556
Person_814,-0.636,0.355,14,40,0.35,0.64,-0.606,0.631,-0.585
Person_815,-0.636,0.355,14,40,0.35,1.098,0.356,1.474,0.932
Person_816,-0.044,0.34,19,40,0.475,2.243,1.999,2.897,2.536
Person_817,0.07,0.339,20,40,0.5,1.122,0.401,1.204,0.533
Person_818,0.182,0.338,21,40,0.525,1.536,1.079,1.164,0.467
Person_819,-0.044,0.34,19,40,0.475,0.427,-1.294,0.448,-1.118
Person_820,-2.503,0.576,3,40,0.075,0.943,0.193,1.524,0.807
Person_821,-0.893,0.366,12,40,0.3,0.249,-1.873,0.384,-1.243
Person_822,3.015,0.73,39,40,0.975,0.732,0.047,0.796,0.33
Person_823,-1.616,0.418,7,40,0.175,1.28,0.63,0.857,-0.007
Person_824,-2.217,0.513,4,40,0.1,1.481,0.818,1.614,0.918
Person_825,-2.217,0.513,4,40,0.1,1.086,0.358,2.052,1.288
Person_826,-0.044,0.34,19,40,0.475,0.538,-0.937,0.518,-0.908
Person_827,-0.513,0.351,15,40,0.375,1.479,0.972,1.363,0.777
Person_828,-0.158,0.342,18,40,0.45,0.441,-1.24,0.5,-0.963
Person_829,0.985,0.348,28,40,0.7,0.851,-0.126,0.984,0.187
Person_830,-2.884,0.677,2,40,0.05,1.129,0.434,0.563,-0.172
Person_831,0.985,0.348,28,40,0.7,0.356,-1.496,0.326,-1.26
Person_832,2.636,0.597,38,40,0.95,0.214,-1.108,0.166,-0.695
Person_833,-1.456,0.402,8,40,0.2,0.18,-2.081,0.2,-1.749
Person_834,-0.158,0.342,18,40,0.45,0.741,-0.392,0.713,-0.409
Person_835,-0.763,0.36,13,40,0.325,1.233,0.583,1.042,0.261
Person_836,-1.164,0.38,10,40,0.25,0.38,-1.313,0.402,-1.116
Person_837,-0.392,0.347,16,40,0.4,0.362,-1.489,0.431,-1.165
Person_838,2.125,0.467,36,40,0.9,0.621,-0.405,0.406,-0.464
Person_839,2.125,0.467,36,40,0.9,0.752,-0.162,0.496,-0.307
Person_840,-0.392,0.347,16,40,0.4,1.108,0.375,0.826,-0.158
Person_841,2.351,0.518,37,40,0.925,0.639,-0.29,0.412,-0.347
Person_842,0.295,0.338,22,40,0.55,0.634,-0.661,0.576,-0.726
Person_843,2.351,0.518,37,40,0.925,0.711,-0.167,0.98,0.343
Person_844,-0.158,0.342,18,40,0.45,0.538,-0.932,0.65,-0.561
Person_845,0.07,0.339,20,40,0.5,0.502,-1.048,0.523,-0.89
Person_846,0.751,0.343,26,40,0.65,0.821,-0.194,0.7,-0.363
Person_847,3.157,,40,40,1.0,,,,
Person_848,0.751,0.343,26,40,0.65,1.128,0.41,0.938,0.093
Person_849,-0.893,0.366,12,40,0.3,0.275,-1.755,0.342,-1.388
Person_850,1.483,0.376,32,40,0.8,0.898,-0.007,0.606,-0.358
Person_851,-0.893,0.366,12,40,0.3,0.462,-1.076,0.577,-0.687
Person_852,-0.636,0.355,14,40,0.35,0.737,-0.371,0.7,-0.421
Person_853,2.351,0.518,37,40,0.925,1.878,1.173,1.052,0.408
Person_854,0.182,0.338,21,40,0.525,0.832,-0.183,0.779,-0.255
Person_855,0.867,0.345,27,40,0.675,0.409,-1.308,0.4,-1.078
Person_856,-0.044,0.34,19,40,0.475,0.427,-1.294,0.448,-1.118
Person_857,0.295,0.338,22,40,0.55,1.055,0.277,0.888,-0.027
Person_858,0.408,0.338,23,40,0.575,1.009,0.188,0.985,0.161
Person_859,-2.503,0.576,3,40,0.075,1.635,0.936,0.788,0.032
Person_860,0.985,0.348,28,40,0.7,0.431,-1.231,0.62,-0.482
Person_861,-0.763,0.36,13,40,0.325,0.971,0.124,1.174,0.48
Person_862,-1.616,0.418,7,40,0.175,0.263,-1.611,0.272,-1.378
Person_863,-0.274,0.344,17,40,0.425,0.651,-0.609,0.628,-0.613
Person_864,0.07,0.339,20,40,0.5,1.15,0.452,1.127,0.405
Person_865,-0.893,0.366,12,40,0.3,0.676,-0.498,0.625,-0.57
Person_866,1.226,0.358,30,40,0.75,0.889,-0.041,0.645,-0.363
Person_867,-2.503,0.576,3,40,0.075,0.458,-0.597,0.323,-0.776
Person_868,-1.307,0.389,9,40,0.225,0.74,-0.324,0.744,-0.253
Person_869,-0.392,0.347,16,40,0.4,0.712,-0.446,0.613,-0.648
Person_870,-0.044,0.34,19,40,0.475,1.625,1.209,1.196,0.521
Person_871,0.521,0.339,24,40,0.6,2.751,2.508,2.576,2.139
Person_872,-1.307,0.389,9,40,0.225,0.873,-0.049,0.673,-0.398
Person_873,1.226,0.358,30,40,0.75,0.381,-1.382,0.744,-0.18
Person_874,0.408,0.338,23,40,0.575,1.176,0.497,0.969,0.132
Person_875,-2.884,0.677,2,40,0.05,0.979,0.268,0.483,-0.292
Person_876,-3.667,,0,40,0.0,,,,
Person_877,-0.158,0.342,18,40,0.45,0.414,-1.333,0.403,-1.266
Person_878,-0.044,0.34,19,40,0.475,1.211,0.558,1.496,0.976
Person_879,-0.392,0.347,16,40,0.4,0.811,-0.218,0.762,-0.295
Person_880,0.295,0.338,22,40,0.55,0.515,-0.999,0.552,-0.788
Person_881,0.751,0.343,26,40,0.65,1.513,1.028,2.227,1.735
Person_882,1.483,0.376,32,40,0.8,0.994,0.174,0.776,-0.07
Person_883,-1.456,0.402,8,40,0.2,0.771,-0.242,0.735,-0.248
Person_884,-1.79,0.44,6,40,0.15,0.426,-0.972,0.395,-0.921
Person_885,-1.986,0.47,5,40,0.125,1.06,0.312,0.649,-0.302
Person_886,0.07,0.339,20,40,0.5,0.468,-1.156,0.478,-1.021
Person_887,1.936,0.433,35,40,0.875,0.336,-1.212,0.325,-0.729
Person_888,-0.636,0.355,14,40,0.35,0.432,-1.202,0.495,-0.944
Person_889,-3.415,0.849,1,40,0.025,0.376,-0.525,0.205,-0.533
Person_890,-2.217,0.513,4,40,0.1,0.381,-0.89,0.47,-0.576
Person_891,-1.307,0.389,9,40,0.225,0.406,-1.203,0.785,-0.173
Person_892,-0.893,0.366,12,40,0.3,0.551,-0.817,0.989,0.172
Person_893,-1.026,0.372,11,40,0.275,0.664,-0.519,0.626,-0.549
Person_894,-0.158,0.342,18,40,0.45,0.978,0.125,0.918,0.025
Person_895,-0.158,0.342,18,40,0.45,1.472,0.98,1.166,0.471
Person_896,1.483,0.376,32,40,0.8,1.974,1.566,2.095,1.361
Person_897,-1.164,0.38,10,40,0.25,0.434,-1.136,0.589,-0.613
Person_898,-1.026,0.372,11,40,0.275,1.103,0.365,1.107,0.372
Person_899,0.408,0.338,23,40,0.575,1.018,0.205,0.837,-0.12
Person_900,-1.986,0.47,5,40,0.125,1.398,0.752,1.672,1.008
Person_901,0.867,0.345,27,40,0.675,0.496,-1.027,0.825,-0.099
Person_902,-0.158,0.342,18,40,0.45,0.524,-0.974,0.635,-0.599
Person_903,-0.513,0.351,15,40,0.375,1.105,0.368,0.96,0.109
Person_904,1.771,0.408,34,40,0.85,1.106,0.371,0.697,-0.118
Person_905,-0.763,0.36,13,40,0.325,0.775,-0.277,0.683,-0.449
Person_906,2.636,0.597,38,40,0.95,0.512,-0.406,0.528,-0.061
Person_907,0.182,0.338,21,40,0.525,0.832,-0.184,0.68,-0.478
Person_908,-2.217,0.513,4,40,0.1,1.294,0.612,0.944,0.192
Person_909,0.295,0.338,22,40,0.55,0.802,-0.248,1.024,0.227
Person_910,-1.307,0.389,9,40,0.225,0.984,0.158,0.889,0.017
Person_911,-0.763,0.36,13,40,0.325,0.642,-0.589,0.632,-0.569
Person_912,0.751,0.343,26,40,0.65,0.284,-1.804,0.3,-1.46
Person_913,0.636,0.341,25,40,0.625,0.747,-0.365,0.643,-0.509
Person_914,-0.763,0.36,13,40,0.325,0.711,-0.423,0.685,-0.445
Person_915,1.621,0.39,33,40,0.825,0.791,-0.203,1.444,0.756
Person_916,1.936,0.433,35,40,0.875,0.199,-1.733,0.204,-1.054
Person_917,2.351,0.518,37,40,0.925,1.146,0.437,1.071,0.425
Person_918,0.636,0.341,25,40,0.625,1.076,0.317,0.913,0.04
Person_919,1.621,0.39,33,40,0.825,0.72,-0.351,0.5,-0.509
Person_920,-3.415,0.849,1,40,0.025,0.838,0.151,0.634,0.097
Person_921,-0.513,0.351,15,40,0.375,0.623,-0.661,1.015,0.21
Person_922,-1.307,0.389,9,40,0.225,0.908,0.018,0.806,-0.134
Person_923,0.636,0.341,25,40,0.625,1.85,1.492,2.265,1.807
Person_924,-1.164,0.38,10,40,0.25,0.414,-1.199,0.499,-0.84
Person_925,-0.274,0.344,17,40,0.425,0.503,-1.028,0.586,-0.72
Person_926,2.636,0.597,38,40,0.95,1.092,0.391,3.741,1.761
Person_927,-1.026,0.372,11,40,0.275,0.335,-1.495,0.406,-1.139
Person_928,0.521,0.339,24,40,0.6,0.167,-2.442,0.195,-2.021
Person_929,0.182,0.338,21,40,0.525,0.72,-0.444,0.868,-0.07
Person_930,0.295,0.338,22,40,0.55,1.57,1.126,1.463,0.917
Person_931,-0.044,0.34,19,40,0.475,0.643,-0.641,0.56,-0.793
Person_932,1.104,0.353,29,40,0.725,0.8,-0.235,0.807,-0.094
Person_933,1.771,0.408,34,40,0.85,0.457,-0.944,1.19,0.494
Person_934,2.351,0.518,37,40,0.925,0.443,-0.678,0.727,0.082
Person_935,-0.044,0.34,19,40,0.475,0.554,-0.888,0.493,-0.982
Person_936,0.985,0.348,28,40,0.7,0.703,-0.463,0.853,-0.032
Person_937,-1.026,0.372,11,40,0.275,0.843,-0.122,0.694,-0.394
Person_938,-0.513,0.351,15,40,0.375,0.248,-1.955,0.298,-1.633
Person_939,1.104,0.353,29,40,0.725,0.579,-0.776,0.46,-0.816
Person_940,1.226,0.358,30,40,0.75,0.561,-0.816,0.548,-0.564
Person_941,-0.158,0.342,18,40,0.45,0.305,-1.759,0.318,-1.577
Person_942,2.125,0.467,36,40,0.9,1.195,0.496,0.759,0.061
Person_943,1.226,0.358,30,40,0.75,0.95,0.08,0.679,-0.299
Person_944,1.771,0.408,34,40,0.85,0.68,-0.4,0.467,-0.51
Person_945,0.408,0.338,23,40,0.575,1.387,0.846,1.08,0.325
Person_946,-0.044,0.34,19,40,0.475,0.448,-1.224,0.425,-1.194
Person_947,0.408,0.338,23,40,0.575,0.725,-0.426,0.645,-0.54
Person_948,-3.415,0.849,1,40,0.025,0.838,0.151,0.634,0.097
Person_949,1.483,0.376,32,40,0.8,1.333,0.73,1.0,0.252
Person_950,-3.667,,0,40,0.0,,,,
Person_951,-2.503,0.576,3,40,0.075,1.635,0.936,0.788,0.032
Person_952,0.636,0.341,25,40,0.625,0.833,-0.17,0.735,-0.309
Person_953,1.104,0.353,29,40,0.725,0.623,-0.66,0.822,-0.068
Person_954,-1.986,0.47,5,40,0.125,0.222,-1.538,0.259,-1.235
Person_955,-0.893,0.366,12,40,0.3,0.914,0.017,0.863,-0.062
Person_956,2.125,0.467,36,40,0.9,0.498,-0.665,0.635,-0.101
Person_957,0.07,0.339,20,40,0.5,0.333,-1.651,0.3,-1.639
Person_958,3.015,0.73,39,40,0.975,0.306,-0.625,0.184,-0.413
Person_959,0.751,0.343,26,40,0.65,1.686,1.271,1.521,0.952
Person_960,0.295,0.338,22,40,0.55,0.289,-1.827,0.387,-1.285
Person_961,2.636,0.597,38,40,0.95,0.795,0.032,0.41,-0.221
Person_962,0.182,0.338,21,40,0.525,0.49,-1.084,0.57,-0.753
Person_963,-1.986,0.47,5,40,0.125,0.554,-0.575,0.388,-0.86
Person_964,0.182,0.338,21,40,0.525,0.674,-0.56,0.618,-0.63
Person_965,0.182,0.338,21,40,0.525,0.63,-0.676,0.666,-0.512
Person_966,-1.986,0.47,5,40,0.125,0.679,-0.316,0.636,-0.326
Person_967,-0.392,0.347,16,40,0.4,0.764,-0.325,0.639,-0.581
Person_968,-1.307,0.389,9,40,0.225,0.612,-0.62,0.501,-0.798
Person_969,1.483,0.376,32,40,0.8,0.358,-1.389,0.319,-1.005
Person_970,0.636,0.341,25,40,0.625,0.733,-0.397,0.75,-0.277
Person_971,-1.307,0.389,9,40,0.225,0.591,-0.673,0.604,-0.55
Person_972,-0.636,0.355,14,40,0.35,0.58,-0.763,0.601,-0.66
Person_973,-0.274,0.344,17,40,0.425,1.161,0.469,1.822,1.404
Person_974,1.352,0.366,31,40,0.775,0.791,-0.24,0.582,-0.448
Person_975,-1.307,0.389,9,40,0.225,0.853,-0.088,0.847,-0.059
Person_976,-1.307,0.389,9,40,0.225,0.739,-0.326,0.682,-0.379
Person_977,1.226,0.358,30,40,0.75,0.591,-0.734,0.789,-0.102
Person_978,-0.392,0.347,16,40,0.4,0.525,-0.946,0.656,-0.539
Person_979,-1.986,0.47,5,40,0.125,1.507,0.878,1.713,1.047
Person_980,0.751,0.343,26,40,0.65,1.806,1.43,1.687,1.156
Person_981,0.751,0.343,26,40,0.65,0.521,-0.954,0.586,-0.62
Person_982,-1.986,0.47,5,40,0.125,0.875,0.03,0.563,-0.465
Person_983,0.408,0.338,23,40,0.575,0.659,-0.591,0.609,-0.628
Person_984,0.985,0.348,28,40,0.7,0.527,-0.93,0.466,-0.848
Person_985,0.636,0.341,25,40,0.625,0.813,-0.213,0.72,-0.339
Person_986,0.751,0.343,26,40,0.65,0.89,-0.047,0.905,0.035
Person_987,-1.164,0.38,10,40,0.25,0.729,-0.358,0.889,0.007
Person_988,0.521,0.339,24,40,0.6,0.717,-0.44,0.625,-0.572
Person_989,-0.392,0.347,16,40,0.4,1.574,1.118,2.101,1.727
Person_990,-0.513,0.351,15,40,0.375,0.308,-1.685,0.336,-1.482
Person_991,1.352,0.366,31,40,0.775,1.093,0.348,0.875,0.058
Person_992,2.125,0.467,36,40,0.9,0.626,-0.395,0.705,-0.008
Person_993,2.125,0.467,36,40,0.9,0.46,-0.756,0.367,-0.539
Person_994,1.483,0.376,32,40,0.8,1.166,0.469,0.864,0.063
Person_995,0.408,0.338,23,40,0.575,1.089,0.339,0.945,0.087
Person_996,0.295,0.338,22,40,0.55,0.713,-0.458,0.721,-0.376
Person_997,0.636,0.341,25,40,0.625,0.53,-0.933,1.295,0.658
Person_998,-0.158,0.342,18,40,0.45,0.357,-1.545,0.409,-1.246
Person_999,0.182,0.338,21,40,0.525,0.934,0.035,1.118,0.39
Person_1000,1.771,0.408,34,40,0.85,0.153,-2.116,0.189,-1.225
